,cluster ID,size,mirai_ratio,Port17132,Port17130,Port17140,Port17128,Port17138,Port17136,Port17134,Port17142,Port80,Port8080,Port23,Port2323,Port81,Port1023,Port5555,Port52869,Port8443,Port49152,Port7574,Port37215,Port54594,Port34218,Port34220,Port33962,Port33968,Port34224,Port34228,Port33960,Port33964,Port34216,Port33970,Port34226,Port33972,Port50401,Port34222,Port34230,Port33966,Port33974,Port445,Port0,Port22,Port8291,Port8728,Port1433,Port8000,Port8081,Port5353,Port2004,Port11211,Port6881,Port443,Port8082,Port4000,Port5060,Port8083,Port8088,Port6379,Port9527,Port30301,Port7001,Port9200,Port7002,Port1027,Port1900,Port3389,Port5900,Port21,Port6380,Port88,Port35,Port8181,Port5000,Port389,Port56880,Port5001,Port137,Port8008,Port7547,Port49153,Port4444,Port139,Port2222,Port8001,Port3544,Port8888,Port5984,Port2480,Port53,Port1883,Port873,Port631,Port9000,Port50070,Port161,Port4786,Port60001,Port8090,Port27017,Port85,Port12866,Port3443,Port111,Port83,Port82,Port548,Port5061,Port995,Port5901,Port554,Port10001,Port9943,Port143,Port3000,Port9080,Port10000,Port17,Port135,Port587,Port993,Port9999
0,0.0,410.0,0.0,1.0,0.0,0.0,0.23170731707317074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004878048780487805,0.00975609756097561,0.01707317073170732,0.007317073170731708,0.007317073170731708,0.004878048780487805,0.012195121951219513,0.0024390243902439024,0.004878048780487805,0.014634146341463415,0.014634146341463415,0.012195121951219513,0.00975609756097561,0.0,0.0024390243902439024,0.004878048780487805,0.0024390243902439024,0.0024390243902439024,0.0,0.0024390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9811320754716981,1.0,0.9811320754716981,1.0,1.0,0.9056603773584906,1.0,1.0,0.0,0.9245283018867925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9811320754716981,0.9056603773584906,1.0,0.9245283018867925,0.0,0.9056603773584906,1.0,0.9811320754716981,1.0,0.0,1.0,1.0,1.0,0.8679245283018868,1.0,0.9433962264150944,0.9245283018867925,0.8867924528301887,1.0,0.8679245283018868,0.0,1.0,1.0,0.8867924528301887,0.018867924528301886,0.03773584905660377,1.0,1.0,0.9811320754716981,0.0,1.0,0.8867924528301887,0.9811320754716981,1.0,0.9245283018867925,0.0,1.0,0.9811320754716981,1.0,1.0,0.9245283018867925,1.0,0.8679245283018868,1.0,1.0,0.0,1.0,1.0,0.9811320754716981,1.0,1.0,1.0,1.0,0.9811320754716981,0.9811320754716981,1.0,1.0,0.9245283018867925,1.0,0.9245283018867925,0.8867924528301887,0.0,0.8679245283018868,1.0,1.0,0.9811320754716981,0.9056603773584906,0.8867924528301887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9811320754716981,0.8679245283018868,1.0,1.0,1.0
2,2.0,1433.0,0.024424284717376135,0.0006978367062107466,0.0,0.0006978367062107466,0.0006978367062107466,0.0013956734124214933,0.0,0.0,0.0,0.9699930216329379,0.8674110258199581,0.0,0.01256106071179344,0.028611304954640614,0.0027913468248429866,0.011863224005582694,0.011165387299371946,0.00837404047452896,0.004884856943475227,0.00837404047452896,0.00837404047452896,0.011863224005582694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013258897418004187,0.0027913468248429866,0.00418702023726448,0.0006978367062107466,0.0006978367062107466,0.07676203768318214,0.019539427773900907,0.009769713886950453,0.00209351011863224,0.18771807397069085,0.00209351011863224,0.0006978367062107466,0.08932309839497557,0.0027913468248429866,0.0,0.0,0.0013956734124214933,0.08443824145150035,0.07885554780181438,0.0034891835310537334,0.0,0.08164689462665736,0.0732728541521284,0.07955338450802513,0.0,0.0,0.004884856943475227,0.006978367062107467,0.0027913468248429866,0.07606420097697139,0.026517794836008374,0.0,0.0006978367062107466,0.0034891835310537334,0.0,0.0,0.00209351011863224,0.0006978367062107466,0.0,0.00209351011863224,0.0,0.0,0.0034891835310537334,0.0013956734124214933,0.0006978367062107466,0.0,0.00837404047452896,0.0027913468248429866,0.0013956734124214933,0.00209351011863224,0.0013956734124214933,0.0013956734124214933,0.0006978367062107466,0.004884856943475227,0.00209351011863224,0.0013956734124214933,0.00209351011863224,0.00628053035589672,0.00628053035589672,0.00209351011863224,0.00628053035589672,0.0,0.0013956734124214933,0.00209351011863224,0.005582693649685973,0.00628053035589672,0.0013956734124214933,0.0013956734124214933,0.0006978367062107466,0.0006978367062107466,0.0006978367062107466,0.0013956734124214933,0.0,0.00209351011863224,0.00209351011863224,0.0013956734124214933,0.0013956734124214933,0.0,0.0034891835310537334,0.00209351011863224,0.0006978367062107466,0.00418702023726448
3,3.0,377.0,0.0,1.0,1.0,0.41644562334217505,0.0,1.0,0.0,0.0,0.0,0.0,0.002652519893899204,0.002652519893899204,0.0,0.0,0.0,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.005305039787798408,0.021220159151193633,0.01856763925729443,0.007957559681697613,0.015915119363395226,0.01856763925729443,0.023872679045092837,0.021220159151193633,0.015915119363395226,0.021220159151193633,0.026525198938992044,0.013262599469496022,0.021220159151193633,0.0,0.0,0.015915119363395226,0.005305039787798408,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,375.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10133333333333333,0.04,0.058666666666666666,0.0,0.037333333333333336,0.042666666666666665,0.06133333333333333,0.04533333333333334,0.056,0.05333333333333334,0.0,0.032,0.037333333333333336,0.0,0.02666666666666667,0.0,0.0,0.034666666666666665,0.04533333333333334,0.032,0.0026666666666666666,0.0,0.0,0.02666666666666667,0.0,0.0,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005333333333333333,0.005333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005333333333333333,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,336.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.19642857142857142,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.020833333333333332,0.020833333333333332,0.017857142857142856,0.01488095238095238,0.020833333333333332,0.026785714285714284,0.011904761904761904,0.011904761904761904,0.020833333333333332,0.011904761904761904,0.02976190476190476,0.011904761904761904,0.0,0.0,0.017857142857142856,0.008928571428571428,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.002976190476190476,0.0
6,6.0,114.0,0.0,0.0,0.21052631578947367,0.20175438596491227,0.0,0.21052631578947367,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.008771929824561403,0.0,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.017543859649122806,0.03508771929824561,0.02631578947368421,0.017543859649122806,0.02631578947368421,0.017543859649122806,0.0,0.0,0.03508771929824561,0.017543859649122806,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1207.0,0.0,0.0,0.0008285004142502071,0.0024855012427506215,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.9991714995857498,0.9975144987572494,0.0,0.9295774647887324,0.9668599834299917,0.9544324772162386,0.9262634631317316,0.9436619718309859,0.9420049710024855,0.9370339685169843,0.9378624689312345,0.9138359569179785,0.008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004971002485501243,0.0024855012427506215,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0016570008285004142,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0,0.0024855012427506215,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0024855012427506215,0.0016570008285004142,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,109.0,0.0,1.0,0.7155963302752294,0.0,0.6972477064220184,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027522935779816515,0.06422018348623854,0.045871559633027525,0.05504587155963303,0.03669724770642202,0.05504587155963303,0.009174311926605505,0.01834862385321101,0.01834862385321101,0.03669724770642202,0.01834862385321101,0.027522935779816515,0.0,0.045871559633027525,0.0,0.05504587155963303,0.01834862385321101,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,96.0,0.0,0.9791666666666666,0.9791666666666666,0.96875,0.96875,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.8958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22916666666666666,0.11458333333333333,0.0,0.0,0.09375,0.22916666666666666,0.0,0.14583333333333334,0.15625,1.0,0.19791666666666666,0.0,0.08333333333333333,0.13541666666666666,0.14583333333333334,0.07291666666666667,0.0,0.010416666666666666,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
