Port Sets,count
17128-17140,161658
17128-17132,161789
17128-17138,161092
17128-17130,161465
17128-17136,161594
17128-17142,127056
17128-17134,127268
17140-17132,161640
17140-17138,161398
17140-17130,161650
17140-17136,161317
17140-17142,127109
17140-17134,126779
17132-17138,161523
17132-17130,161804
17132-17136,161342
17132-17142,126900
17132-17134,127223
17138-17130,161330
17138-17136,160708
17138-17142,126693
17138-17134,126903
17130-17136,161084
17130-17142,126871
17130-17134,127436
17136-17142,126277
17136-17134,127077
23-80,103910
23-8080,104105
23-2323,43210
23-81,35161
17142-17134,103802
80-8080,125685
80-2323,44488
80-5555,39188
80-81,39664
80-1023,39947
80-52869,38898
80-8443,38820
80-49152,38888
80-7574,38194
80-37215,37902
8080-2323,44326
