Port Sets,count
8080-2323-49152,36040
8080-2323-7574,35321
8080-2323-37215,35835
8080-5555-81,34017
8080-5555-1023,34167
8080-5555-52869,34044
8080-5555-8443,33938
8080-5555-49152,34047
8080-5555-7574,33287
8080-5555-37215,33116
8080-81-1023,34368
8080-81-52869,34008
8080-81-8443,34047
8080-81-49152,34156
8080-81-7574,33476
8080-81-37215,33261
8080-1023-52869,34073
8080-1023-8443,34102
8080-1023-49152,34250
8080-1023-7574,33556
8080-1023-37215,33247
8080-52869-8443,33915
8080-52869-49152,34035
8080-52869-7574,33368
8080-52869-37215,33143
8080-8443-49152,34033
8080-8443-7574,33336
8080-8443-37215,33075
8080-49152-7574,33493
8080-49152-37215,33289
8080-7574-37215,32636
2323-5555-81,32282
2323-5555-1023,33536
2323-5555-52869,32205
2323-5555-8443,32163
2323-5555-49152,32255
2323-5555-7574,31607
2323-5555-37215,32186
2323-81-1023,33748
2323-81-52869,32251
2323-81-8443,32259
2323-81-49152,32376
2323-81-7574,31733
2323-81-37215,32296
2323-1023-52869,33449
2323-1023-8443,33473
2323-1023-49152,33605
2323-1023-7574,32989
2323-1023-37215,33456
2323-52869-8443,32126
2323-52869-49152,32268
2323-52869-7574,31646
2323-52869-37215,32163
2323-8443-49152,32221
2323-8443-7574,31604
2323-8443-37215,32089
2323-49152-7574,31730
2323-49152-37215,32282
2323-7574-37215,31688
5555-81-1023,31039
5555-81-52869,31113
5555-81-8443,31157
5555-81-49152,31233
5555-81-7574,30594
5555-81-37215,30428
5555-1023-52869,30908
5555-1023-8443,30960
5555-1023-49152,31023
5555-1023-7574,30368
5555-1023-37215,30148
5555-52869-8443,31054
5555-52869-49152,31139
5555-52869-7574,30537
5555-52869-37215,30356
5555-8443-49152,31184
5555-8443-7574,30492
5555-8443-37215,30342
5555-49152-7574,30587
5555-49152-37215,30428
81-1023-52869,30971
81-1023-8443,31000
81-1023-49152,31076
81-1023-7574,30491
81-1023-37215,30240
81-52869-8443,31115
81-52869-49152,31223
81-52869-7574,30649
81-52869-37215,30465
81-8443-49152,31266
81-8443-7574,30595
81-8443-37215,30431
81-49152-7574,30675
81-49152-37215,30533
1023-52869-8443,30884
1023-52869-49152,30973
1023-52869-7574,30406
1023-52869-37215,30133
1023-8443-49152,30996
1023-8443-7574,30364
1023-8443-37215,30055
1023-49152-7574,30483
1023-49152-37215,30248
52869-8443-49152,31136
52869-8443-7574,30544
52869-8443-37215,30309
52869-49152-7574,30669
52869-49152-37215,30519
8443-49152-7574,30620
8443-49152-37215,30432
